AD1651,31-1-2014,5,9,54.1,39.8,4.3,1,0.8,4.5,54.2,38,5.4,1.2,1.1,4
AD1705,31-1-2014,22,27,43.2,44.9,6.8,4.4,0.8,5.2,44.7,44.8,6.2,3.7,0.5,5.4
AD2831,19-2-2014,38,41,41.6,46.9,7,3.7,0.8,4.4,40,46.6,7.7,4,1.6,4.4
AD2834,19-2-2014,23,27,46.1,40.8,6.2,6,0.8,5.2,44.8,41,7,6,1.2,5.3
AD2835,19-2-2014,45,50,39.7,50.6,5.1,3.6,1,7.1,39.5,50,6.1,3.7,0.7,6.7
AD2839,19-2-2014,46,52,49.3,37.1,6.6,6.4,0.6,4.6,47,38.7,6.2,7.5,0.7,4.8
AD2841,19-2-2014,22,30,45.5,42.3,8.8,2.1,1.2,6.4,45.7,42.4,9,2,0.9,6.6
AD3536,03-03-2014,2,7,57.3,26.1,7.5,8.3,0.8,4.9,57,26.7,7.2,8,1,4.8
AD3630,05-03-2014,19,23,63.3,20.1,5.4,10.6,0.6,12.3,62,21.2,4.9,11.1,0.8,12.8
AD3660,05-03-2014,18,22,77.8,16.6,3.4,1.8,0.4,10.6,74.4,18.8,4.3,1.9,0.6,10.3
AG,11-2-2014,46,49,44.7,46.7,5.4,2.5,0.6,6.5,44.8,46.9,4.8,2.3,1.2,6.6
AH,14-3-2014,19,23,55.6,36.7,5.2,1.7,0.1,7.3,56,36.8,5,1.6,0.7,6.8
AH1858,5-2-2014,9,13,54.8,36.2,6.3,2.1,0.6,9.6,54.1,36.8,6.3,1.9,0.8,9.5
AH1946,13-2-2014,28,32,67.5,23.1,6,2.8,0.4,9.2,69.1,21.7,6.1,2.4,0.6,9.2
AH2648,19-2-2014,20,24,58.6,30.9,5.8,3.8,0.9,3.7,60,30.1,5.7,3.2,1.1,3.6
AH26556,19-2-2014,21,29,36.7,45.7,8,8.6,1,8.7,36,44.8,9,9.2,1,8.5
AH2658,19-2-2014,37,40,52.7,33.4,7.3,5.4,1.2,5.4,53.5,33.8,7.3,4.8,0.7,5.7
AH2667,19-2-2014,43,48,52.8,39,4.4,2.7,1,6,50.7,41.1,4.5,2.7,0.9,6.3
AH3027,26-2-2014,1,5,72,22.8,4.6,0.3,0.3,4.9,70.9,23.9,4.3,0.6,0.3,5
AH3034,26-2-2014,19,23,45.4,43.5,7.5,3.2,0.3,4.1,42.7,44.6,9.2,3.1,0.4,4.3
AH3043,26-2-2014,2,6,42.5,49.8,4.4,2.9,0.4,5.3,43.8,48.4,4.5,2.8,0.3,5.2
AH3052,27-2-2014,27,33,52.1,36.2,6.8,1.8,3.1,8.2,54.6,36.5,6.6,1.3,1.1,7.4
AH3368,05-03-2014,2,6,68.9,14.2,8.8,7.5,0.6,10.7,67.3,15.5,7.5,9.1,0.5,11.2
AH3529,06-03-2014,17,21,63.2,25.2,6.4,4.3,0.8,8.4,64.2,24.6,6,4.3,1,9
AH4093,17-3-2014,3,7,59.3,33,4.7,2,1,5.6,61.3,30.9,4.3,2.5,1,5.2
AM,11-2-2014,37,41,51.8,37.2,8.7,1.6,0.7,4.7,50.7,39,8.1,1.4,0.8,4.8
AM,24-3-2014,1,2,64,25.1,7.1,2.7,1,6.4,64,24.3,8,2.9,0.7,6.2
AM-C,28-2-2014,17,21,45.9,40.5,7.8,4.8,0.9,2.3,47.7,38.8,8.3,4.8,0.5,2.3
AM-D,28-2-2014,1,13,38.4,46.3,12.1,2.7,0.5,5.1,37.2,46.4,13.1,2.9,0.5,4.9
AN1843,27-2-2014,20,24,65.8,24.5,7.4,1.7,0.6,11.6,64.5,26.6,6.7,1.6,0.5,11.8
AS,21-2-2014,31,33,59.1,30.5,6.9,3,0.5,5.7,60.1,28.9,6.9,3.4,0.8,5.4
BJ598,06-03-2014,13,9,47.6,38.8,8.3,4.5,0.9,6.9,48.6,37.9,7.8,4.3,1.5,6.9
BS,11-2-2014,26,35,47.9,36.1,6.3,8,1.6,6.4,47.6,36.2,6.6,8.2,1.4,6.2
BS,21-3-2014,1,2,42.4,39,5.9,11.4,1.2,6.2,41.6,39.8,6.1,10.9,1.7,6
CA31,31-1-2014,11,20,54.1,37.2,4.9,3.3,0.5,6.6,54.9,36.9,4.6,2.9,0.7,6.3
CB,29-01-2014,43,45,48,38.2,7.4,5.8,0.5,5.5,48.4,37.7,8.3,4.9,0.6,4.9
CC,18-3-2014,14,17,56.1,28.9,6.6,7.3,1.1,5.2,55.6,29.9,7.2,6.4,0.9,5
CF,14-3-2014,17,21,53.3,37.7,5.2,3.2,0.7,7.4,54.4,37,5.3,2.9,0.6,7
CJ1885,05-03-2014,3,7,79.1,14,4.9,1.5,0.3,18.1,79.5,13.4,5,1.6,0.5,17.6
CL,29-01-2014,42,47,47,48.4,3.4,0.8,0.4,9.5,47.1,47.7,4,0.8,0.5,8.8
CP,29-01-2014,53,56,56,33.9,5.9,3.4,0.8,6.3,56.1,34,5.9,3.3,1.1,5.9
CP,29-01-2014,26,29,64,27.7,5.3,2.3,0.6,6.6,65.7,25.9,5,2.7,0.6,5.8
CP,25-3-2014,1,2,68.5,22.7,4.5,3.3,1,8.1,68.6,22.9,4.6,2.8,1,8
CR,11-2-2014,39,43,52.4,34.3,4.9,8,0.4,5.7,54.1,34.3,4.2,6.5,0.9,5.9
CSS18,03-03-2014,3,8,44.4,45.4,5.2,3.8,1.1,4.9,43.8,46.6,4.3,4.3,1,5.3
DB504,06-03-2014,1,5,53.7,35.4,8,1.7,1.2,6.5,54.3,35.7,7.7,1.6,0.8,7.3
DS,14-3-2014,18,22,47.5,42.8,5.2,2.9,1.5,6,47.3,43.1,5.8,2.4,1.4,5.5
EBS170,11-3-2014,2,6,52.5,32.6,10.4,2.9,1.6,8.8,54,34.2,9.2,2.1,0.5,8.1
EBS173,11-3-2014,3,7,46.8,37.8,13.4,1.5,0.5,8.1,46.7,37.6,12.8,1.2,1.7,8.1
EBS176,11-3-2014,4,8,49.2,41.1,6.8,1.9,1.1,8.1,49.9,39.5,7.6,1.3,1.7,8.4
EBS181,11-3-2014,1,5,61,27.7,9.6,0.8,1,5,59.4,28.7,10.2,0.5,1.2,5.1
EBS196,12-3-2014,10,14,60.7,29.8,6.1,3,0.4,7.3,59.7,31.1,6.3,2.6,0.4,7.2
EBS197,12-3-2014,1,5,70.3,19.2,7.1,2.8,0.5,9.8,70.6,18.9,7.2,2.8,0.6,10.4
EBS198,12-3-2014,2,6,54.7,37.5,4.8,2.5,0.6,7.4,54.5,38.2,4.5,2.2,0.6,7.5
EBS199,12-3-2014,3,7,66,25.4,6.2,1.9,0.5,4.9,66.9,25.7,4.7,2,0.7,4.9
EBS200,12-3-2014,4,8,50.6,42.8,4.3,1.9,0.5,5.8,51.8,40.4,5.1,1.8,0.9,5.4
FL,14-3-2014,28,32,54.8,33.3,7.7,3.3,1,7,53.5,33.9,8.4,3.3,1,6.5
FL,24-3-2014,1,2,59.7,30.2,6.6,2.6,1,7.3,59.7,30.2,6.6,2.6,1,7.3
HW123,27-2-2014,18,22,86.8,7.1,2.4,3.4,0.4,12.9,86.5,7.1,2.2,3.9,0.3,12.9
HW1241,27-2-2014,1,13,86,8.2,5.5,0.2,0.1,16.4,85.9,7.8,5.5,0.5,0.2,15.5
HW1401,7-3-2014,9,12,44.1,46.8,4.3,3.9,0.9,8.1,44.3,45.9,4.5,4.2,1,8.4
IPR8033,31-1-2014,12,16,68.2,26.2,4.2,1,0.4,7.2,67,26.8,4.8,1.1,0.3,6.6
IPR8577,05-03-2014,10,14,60.8,27.1,10.3,0.9,0.9,9.7,58,28.5,11.6,1,0.9,9.9
JCR,14-3-2014,27,31,64,27.4,7,0.9,0.9,6.4,65.5,25.4,7.2,0.9,0.9,6.1
JGF,11-2-2014,45,48,56.6,35.7,5.9,1.1,0.7,6.5,57.4,35.3,6,0.8,0.6,6.2
JGF,24-3-2014,1,2,66.3,26.1,6.2,0.7,0.6,8.6,67.7,24.9,6.1,0.6,0.7,8.8
JP486,06-03-2014,18,22,48.8,39.3,5.7,5,1.2,7.7,48.2,40,5.5,4.8,1.5,8.6
JP491,06-03-2014,19,23,67.7,23.9,6.7,0.8,0.9,5.4,69.2,22.1,6.3,1.8,0.5,5.5
JP494,06-03-2014,11,15,46.3,42.9,7,2.7,1,5.4,46.9,42.6,6,2.8,1.5,5.5
JS,14-3-2014,25,29,62.3,30.8,5.1,0.7,1.2,7.8,63.1,30.4,4.8,0.7,1,6.9
LA1128,7-3-2014,4,8,59.4,30.6,6.9,1.5,1.6,10,60.3,30.3,7.1,1.4,1,9.7
LB,14-3-2014,20,24,58.1,31.6,8,1.6,0.7,7,57.3,32.5,7.4,1.7,1.2,6.7
LI1480,29-01-2014,62,64,51.7,40.9,5.2,1.7,0.5,6.8,51.8,40.5,5.7,1.6,0.4,6.7
LI2186,13-2-2014,20,25,39.5,51.6,5.5,2.2,1.3,7.4,39.5,51.9,5.3,2.4,0.9,7.4
LI2197,13-2-2014,23,26,56.7,29.1,7.9,5.3,1.3,8.4,55.3,31.2,6.8,5.6,1.1,9.3
LI2214,13-2-2014,22,24,33.8,57.2,5,3.4,0.6,6.3,34,55.6,5.1,3.5,1.8,6.4
LI3133,03-03-2014,17,22,57.3,29.4,9,3.3,1,5.9,56.4,30.9,7.3,4,1.4,5.7
LI3136,03-03-2014,14,9,48.7,39.8,8.1,2.7,0.7,6.4,46.5,39.7,9.3,3.8,0.6,6.3
LI3145,03-03-2014,20,21,57.5,33.5,5.7,2.8,0.5,10.4,55.5,35.4,4.8,3.5,0.9,11.1
LI3151,03-03-2014,12,13,62,29.8,3.7,3.6,0.9,6.7,61.9,30.6,4,3.1,0.3,6.2
LI3154,03-03-2014,19,24,61.1,27.6,8.1,2.8,0.4,9.7,60.9,28.5,6.9,2.8,0.9,10.3
LI3157,03-03-2014,11,16,50.9,41,5.4,2.1,0.6,8.3,51.4,39.1,5.5,2.8,1.2,8.7
LI3348,06-03-2014,2,6,50.9,38.6,6.3,3.2,1,5.1,53.1,36.8,6.7,2.5,0.8,5.2
LI3366,06-03-2014,3,7,50.7,30.5,7.7,10.2,0.9,5.2,50.1,32.6,6.4,10.3,0.7,5.3
LI3384,06-03-2014,20,24,42.1,47,7.5,1.7,1.7,6.5,45.3,46,5.9,1.6,1.4,6.3
LI4004,17-3-2014,6,16,83.2,11.4,5,0.3,0.2,10.7,83.3,11.2,4.9,0.4,0.2,10.8
LID198,13-2-2014,36,37,39.1,52,6.2,1.9,0.8,4.3,36.7,53.4,6.1,2.4,1.4,4.1
LID285,06-03-2014,12,16,48.4,40.1,7,3.3,1,6.7,47.8,41.3,6.2,3.3,1.4,7.3
LMM,06-03-2014,20,23,54.8,33.5,5.3,5.5,0.9,8.7,56.7,32,5.3,5,1,8.9
LMM,18-3-2014,21,24,55.6,32.6,5.3,5.6,0.9,9,53.7,33.6,6,5.5,1.2,8.5
MF1278,06-03-2014,4,8,57.9,32,6.7,2.5,0.9,9,59,32.4,5.3,2.4,0.8,8.8
MF1290,06-03-2014,10,14,48.4,36.1,5.8,8.5,1.3,6.8,48.2,36,6.8,8.3,0.6,6.7
MF711,5-2-2014,23,27,58.2,32.5,6.4,2.5,0.5,5.2,58.3,31.8,7.2,2,0.6,5.2
MF855,13-2-2014,40,42,53.6,34.8,8.7,2.2,0.7,8.1,53.7,35.5,8.3,1.9,0.6,8.3
MJC,29-01-2014,36,37,69.4,22.6,5.7,1.9,0.3,5.9,68.9,23.3,5.5,2.2,0.2,6.5
MJC,18-3-2014,19,22,75.7,18.6,4.6,0.7,0.4,9.3,76,18.1,4.7,0.8,0.3,8.7
ML1096,19-2-2014,32,36,44.9,41.6,7.3,5.6,0.5,7.4,45.6,41.8,6.4,5,1.2,7.7
ML1108,19-2-2014,42,51,54.3,36.7,5.5,3,0.5,7.5,54.5,36.8,4.8,3,1,6.6
ML12593,26-2-2014,4,8,45.3,41.2,7,5.9,0.5,9.6,43.8,41.5,7.5,6.5,0.5,9.1
ML12605,26-2-2014,13,9,60.5,30.7,5.5,1.9,1.4,6.2,60.5,32.4,5.6,1.1,0.4,6.6
ML12619,26-2-2014,10,14,57.4,36.3,4.8,1.1,0.4,8.7,57.1,35.3,6,1.3,0.3,8.7
ML12654,26-2-2014,18,22,76.4,16.9,5.5,0.7,0.5,7.7,75.5,17.3,5.9,0.8,0.5,7.8
ML12684,26-2-2014,12,16,49.6,35.3,7.4,6.7,1,5.9,48.4,36.8,7,6.9,0.8,6.3
ML12690,26-2-2014,3,7,59.9,34.2,4.9,0.8,0.3,6.7,58.8,35.2,4.9,0.9,0.2,6.9
ML12704,26-2-2014,25,26,54.9,35.1,6.5,2.8,0.6,6.3,55.3,35.6,5.7,2.7,0.6,5.9
ML12776,27-2-2014,19,23,58.5,27.6,10.2,2.7,1,8,60.2,26.4,10.2,2.2,0.8,7.4
ML13623,03-03-2014,1,6,38.6,48.7,6.3,5.7,0.7,6.3,37.9,48.1,5.9,6.6,1.5,6.1
ML13626,03-03-2014,18,23,56.1,32,8.3,1,2.6,5.7,56.7,33.6,8.8,0.5,0.4,5.5
ML13656,03-03-2014,4,5,46.6,39.9,7.1,5.7,0.6,5,46.4,40.2,7.2,5.3,0.8,4.8
ML14050,05-03-2014,4,8,89.1,6.8,3.3,0.5,0.2,16.6,88.6,7.5,2.9,0.8,0.2,16.5
ML1464,7-3-2014,2,6,45.8,34.1,18.1,1.2,0.9,7.2,48,31.7,17.7,1.6,0.9,7
ML1473,7-3-2014,3,7,69.2,10.8,17.2,2.3,0.4,9.9,69.3,10.5,17.5,2,0.7,9.8
ML16971,17-3-2014,11,12,47.3,40.5,7.2,3.9,1,5.7,47.6,39.8,7.1,4.1,1.3,5.1
ML16982,17-3-2014,20,22,51.6,39.4,6.2,2.2,0.7,4.4,50.7,39.4,6.5,2.2,1.2,4.5
ML16990,17-3-2014,15,4,62,30.3,5.4,1.5,0.8,8.2,60,31.2,6.2,1.4,1.3,8.2
ML17008,17-3-2014,10,14,38.5,53.1,5,2.1,1.4,4.3,39.1,53,4.8,2.6,0.5,3.9
ML17017,17-3-2014,13,9,41,46.9,7.2,3.9,0.9,7.6,41.8,46.2,6.5,4.2,1.3,7.1
ML6089,29-01-2014,63,66,44.5,46.1,7.7,0.9,0.8,5.1,43.6,46.9,8.6,0.8,0.3,4.7
ML6124,29-01-2014,58,60,50,36.1,9.1,4.1,0.8,7.3,47.9,38.4,8.7,4,1,7.5
ML6151,29-01-2014,59,61,51.1,36.6,4.9,6.4,1.1,8.2,50.6,34.9,6.7,6.9,0.9,8.1
ML6585,31-1-2014,13,18,46.9,44.2,5.6,2.7,0.6,5.2,47.9,43.6,5,2.4,1.1,5.1
ML6695,31-1-2014,15,19,48.8,34.5,11.2,4.7,0.8,4.1,50,35.2,9,5.1,0.8,4.2
ML6701,31-1-2014,3,10,56.5,32.7,5.2,5,0.7,6.8,57.6,32.9,4.4,4.7,0.4,6.7
ML7742,5-2-2014,15,20,48.7,37.4,6.4,6,1.4,5.7,50.3,36.2,5.9,6.4,1.2,5.8
ML7761,5-2-2014,33,37,51,41.2,5.8,1.8,0.3,6.9,50.5,40,7.2,2,0.4,7.2
ML7781,5-2-2014,10,14,52.1,36.6,8.4,2.3,0.6,9.4,51.9,36.7,8.4,2.4,0.6,9.6
ML7785,5-2-2014,21,25,52.5,39.2,4.6,3.1,0.6,6.5,53.2,38,4.8,3.4,0.6,6.8
ML7818,5-2-2014,32,36,65.7,27.5,3.8,2.3,0.7,4.8,63.6,28,5.2,2.5,0.7,4.3
ML7834,5-2-2014,22,29,54.4,35.4,7.2,2.7,0.4,4.1,53.8,35.6,8,2.2,0.5,4.1
ML7853,5-2-2014,31,43,63.3,26.5,5.9,3.6,0.7,5.7,62.6,27.7,5.3,3.7,0.7,5.6
ML9629,13-2-2014,27,33,60.6,29,8.2,1.6,0.6,5.8,61,29.3,7.2,1.7,0.8,6
ML9632,13-02-2014,35,39,74.5,18.6,5.3,1.3,0.3,8.8,74.1,19.1,5.3,1.3,0.3,8.8
ML9682,13-2-2014,29,30,55.5,33.4,9.3,1.1,0.8,5,54.6,34.2,9.1,1.2,0.9,5.3
ML9709,13-2-2014,34,38,75.3,18.3,4.1,1.8,0.5,7.6,76,17.6,4.2,1.7,0.4,7.7
MO,11-2-2014,50,51,60.4,32.1,4.9,2,0.6,6.8,61.5,30.5,5.1,1.9,1.1,6.5
MR,14-3-2014,26,30,51.4,40.3,6.3,1.5,0.6,7.5,53.5,38.9,5.8,1.2,0.6,6.8
MR8051,27-2-2014,11,15,48.7,41.9,6.1,2.5,0.7,8.1,46.4,44.4,5.6,2.9,0.7,8.7
NR,27-2-2014,24,27,68,22.8,6.5,2.3,0.4,12.3,68.2,23,6.2,2.1,0.4,11
NR,25-3-2014,1,2,68.5,20.9,7.5,2.4,0.6,12.9,68.4,21.1,7.3,2.5,0.7,13.4
NR-C2,25-3-2014,2,11,65.9,23,8,2.4,0.7,15.2,65,24.2,8.1,2.2,0.4,15
NR-D,28-2-2014,10,14,66.8,22.6,8,2.1,0.5,20.4,66.3,22,8.8,2.2,0.8,20
NR-N,28-2-2014,18,22,66.2,22.8,7.9,2.6,0.5,13.5,66,23.2,8,2.4,0.4,13.2
OC341,27-2-2014,26,30,75.9,18.3,4.2,1.3,0.3,11.6,76.1,16.7,5.7,1.1,0.4,12.3
OH60,27-2-2014,17,21,62.3,21.5,13.9,1.9,0.5,10,60.6,23,13.5,2.3,0.5,9.5
PCM613,7-3-2014,21,24,50.8,42.3,4.2,2.1,0.7,10.6,49.4,43.3,4.6,1.9,0.9,10.4
PD2699,05-03-2014,17,21,60.7,31.6,5.3,1.9,0.5,14.7,60.8,30.2,5.2,2.9,0.9,15.4
PPS642,05-03-2014,11,15,45.6,44.4,6.9,2.4,0.7,11.2,45.3,44.7,7.1,2.2,0.8,10.8
PQC3252,05-03-2014,12,16,61.5,26.4,9.3,2.3,0.4,10.4,61,27.2,8.5,2.7,0.6,10.4
PSF6791,27-2-2014,12,16,29.4,65,3.3,1.1,1.2,6.8,26.5,68.3,3.4,1.4,0.4,7.4
PSF754,05-03-2014,13,9,38,54.7,4.8,1.3,1.2,11.6,38.2,54.6,5,1.3,0.9,11.6
RC,21-3-2014,1,2,35.8,49.8,6.2,6.9,1.3,6.2,35.6,51.1,5.5,6.4,0.4,5.6
RG939,05-03-2014,1,5,46.9,46.5,4.2,1.8,0.6,8.7,45.8,45,5.9,1.6,1.7,8.5
RO315,7-3-2014,16,19,67.4,18.6,9.8,3.3,0.9,12,66.6,18.9,10.4,3.5,0.6,12.2
SB,11-2-2014,28,34,56.4,34.9,5,2.7,1,6.2,56,34.3,5.9,2.7,1.2,6
SB-C,28-2-2014,19,23,63.2,26.6,5,3.9,1.3,9.2,63.7,25.9,5,4,1.3,9.8
SB-D,28-2-2014,11,15,54.3,35,6.5,3.7,0.6,7.1,54.9,33.6,6.6,3.9,1,7.5
SB-D50,28-2-2014,12,16,58.6,31.4,5.5,4,0.5,4.2,60.1,29.5,6,4,0.4,4.5
SB-N,28-2-2014,20,24,59.8,30.4,5.1,3.7,1,8.7,60.1,30.1,5.6,3.4,0.9,9.3
SG,28-2-2014,19,22,73.5,20.8,3.9,1.2,0.5,9.6,72,22.1,4.1,1.3,0.5,8.5
SG,25-3-2014,1,2,70.5,24.2,4.1,0.6,0.5,7.7,70.6,23.9,4.1,1,0.3,7.3
SS,21-3-2014,1,2,50,37.6,5.7,5.9,0.7,8.5,50.4,38.3,5.3,5.1,1,8
TA,11-2-2014,33,36,64.8,28.5,4.2,1.8,0.7,8.4,64.6,28,4.5,2.1,0.8,8.7
TB,18-3-2014,13,16,81.2,9.7,4.6,3.8,0.7,8.5,82,9.9,4.3,3.3,0.5,8.1
TS,29-01-2014,50,52,54.3,36.9,3.5,4.9,0.3,5.5,52.9,37.1,4.4,5.1,0.4,5.4
TT,18-3-2014,15,18,61.6,29.1,6.5,2,0.8,6.4,60.5,30.7,6.1,2,0.9,5.8
VA,29-01-2014,48,51,80.1,14.6,3.1,1.8,0.4,9.8,80.5,14.1,3.4,1.5,0.5,8.6
VC,11-2-2014,38,44,57.9,28.7,6.2,5.9,1.4,6.4,59.6,27.3,5.9,6.2,1,6.2
VC,18-3-2014,25,26,53.4,29.2,6.1,10.1,1.2,6.8,55.1,28.4,5.7,9.3,1.5,6.8
XC29,31-1-2014,24,30,39.6,46.2,6.3,7.4,0.4,6.3,38.2,46.6,5.9,8.2,1.2,6.1
